"";"ANIMAL_ID";"ppert";"Start";"value.start";"End";"value.end";"days_of_pert";"Min.Day";"Min.perc"
"114";"5657";"P2";86,2;-0,0577109261820669;199,1;0,0195650229694176;112,9;123,9;-19,8027541249186
"115";"5658";"P1";82,2;-0,119589736556157;161,1;0,0174382042420515;78,9;104,5;-10,4553558260143
"116";"5666";"P2";80,6;-0,0296657902686902;184,5;0,0178603638664958;103,9;93,6;-11,934397707562
"117";"5667";"P1";69,6;-0,000870697997516872;85,5;0,0611867492460908;15,9;71,5;-5,73315942289647
"118";"5667";"P2";90,9;-0,0394701580220917;205,2;0,0437833901004482;114,3;121,7;-24,6304456055345
"119";"5668";"P1";67,1;-7,25180696238222;87,2;0,118303050586829;20,1;68,3;-35,7651339332842
"120";"5668";"P2";96,1;-0,0212626572190842;134,1;0,00545662054800138;38;108;-10,3223726061231
"121";"5668";"P4";149,5;-0,000196019920603453;194;-2,03375340602534;44,5;178,8;-7,15189839617155
"122";"5673";"P1";83,5;-0,0366929070183007;205;0,00438087259953647;121,5;125,3;-27,2802127899991
"123";"5731";"P1";74,1;-84,0768459660916;87,4;0,042919329239498;13,3;74,1;-84,0768459660916
"124";"5731";"P2";92,8;-0,0566332374512036;136,7;0,0110926071953696;43,9;120,2;-6,75776539140399
"125";"5744";"P1";76,5;-0,222204968847014;89;0,055479985983948;12,5;79,1;-16,2631667643334
"126";"5745";"P1";79,3;-0,0520385133155725;114;0,0119340528868968;34,7;84,3;-20,910502910479
"127";"5746";"P1";70,1;-35,5284519512746;95,1;0,0312740533065728;25;70,1;-35,5284519512746
"128";"5746";"P2";102,9;-0,0631487190102507;147,6;0,00909199572821258;44,7;119,5;-9,34838684781458
"129";"5769";"P1";70,1;-84,8181335687119;89,3;0,00564251015845305;19,2;70,1;-84,8181335687119
"130";"5769";"P2";96,9;-0,0814045137908684;149,2;0,00525475800643336;52,3;103,5;-5,87504053120475
"131";"5770";"P1";71;-73,8102739842263;78,1;0,00969327658537624;7,09999999999999;71;-73,8102739842263
"132";"5773";"P1";80,3;-0,532318381207039;131,8;0,00706633633924996;51,5;87,7;-17,7045400371808
"133";"5774";"P1";71,3;-1,60486524138561;99,6;0,0454274898489923;28,3;77,1;-27,7684076081198
"134";"5774";"P2";101,4;-0,0823335798415819;127,3;0,00964196236892914;25,9;108,2;-5,72061022426573
"135";"5775";"P1";71,5;-0,458037319095281;113;0,0206357363019716;41,5;79,5;-37,869497808152
"136";"5779";"P1";72,1;-50,5818633165347;77,5;0,465167037248876;5,40000000000001;72,1;-50,5818633165347
"137";"5780";"P1";74;-0,00451477132486423;99;0,105089551438263;25;84,8;-11,0452639997489
"138";"5781";"P1";71,1;-44,6726794134167;88,8;0,122520796546195;17,7;71,1;-44,6726794134167
"139";"5781";"P2";95,7;-0,00584337065338683;137,1;0,00280354418655064;41,4;106,7;-8,81913612968215
"140";"5837";"P1";76,9;-0,407847416237914;98,4;0,0312946001393929;21,5;81,7;-17,1038260496844
"141";"5838";"P1";76,4;-0,104710383645225;106,4;0,0234192768076115;30;85,9;-26,2004175391783
"142";"5854";"P1";68,1;-67,3376826486297;89,6;0,167411317678906;21,5;68,1;-67,3376826486297
"143";"5856";"P1";66,1;-11,9199225044859;80,9;0,177838136523309;14,8;67,3;-78,6933282280185
"144";"5856";"P2";96,2;-0,02837683010234;169;-18,3624690952413;72,8;168,7;-18,3863276904825
"145";"5857";"P1";69,1;-91,3036917400547;94,2;0,0465731833527296;25,1;69,1;-91,3036917400547
"146";"5857";"P2";99,1;-0,0718791104606392;146,4;0,0120779645071443;47,3;116,5;-5,29099109749767
"147";"5858";"P1";73,7;-0,504763210513608;173,9;0,021663442924239;100,2;81,2;-17,5916184543421
"148";"5859";"P1";67,2;-0,67895088902276;88,7;0,0546418319052771;21,5;77,2;-20,9311722247334
"149";"5860";"P1";67,1;-2,39167274818437;88,7;0,00170387807602993;21,6;69;-20,9764254060265
"150";"5944";"P1";69,1;-86,8034171985662;83,8;0,0110896689320924;14,7;69,1;-86,8034171985662
"151";"5944";"P2";90,1;-0,0914587886898083;129,6;0,0330085503029498;39,5;104,6;-8,84368990838455
"152";"5945";"P1";70,1;-7,64537951193434;82,6;0,0977158632790217;12,5;71,3;-38,6874266187563
"153";"5945";"P2";88,5;-0,189429456128596;163,6;0,00356326477067165;75,1;102,4;-14,3231276148643
"154";"5946";"P1";86,6;-0,0662642841198912;166,5;0,0655854991376518;79,9;105,6;-27,3377107497019
"155";"5947";"P1";69,1;-28,1140380240526;83,9;0,0935656109403442;14,8;69,8;-31,194194122277
"156";"5982";"P1";71,1;-5,78698441153654;90,5;0,0500891561729345;19,4;72;-25,392089003523
"157";"5982";"P2";97,2;-0,022774649185729;167,2;0,016279468508006;70;107,9;-14,0217853453906
"158";"5983";"P1";70,7;-0,0247036325871105;91,4;0,0141286158800643;20,7;73,4;-17,1485404153751
"159";"5985";"P1";69,1;-3,24335459723569;84,5;0,124404508971668;15,4;78,5;-20,4474344928316
"160";"5985";"P3";120,2;-0,0169654602343826;168;-6,39578990187065;47,8;164;-6,94728604974351
"161";"6000";"P1";69,4;-0,17474763183212;89,7;0,0898211604725368;20,3;71,2;-20,0700080627676
"162";"6000";"P2";94,5;-0,0205122015865746;142,5;0,0116711342278613;48;108,1;-7,78155014129003
"163";"6001";"P1";70,8;-1,14259057706352;127,5;0,0170615833850665;56,7;72,7;-56,0882238677864
"164";"6002";"P1";70,7;-0,159658105205111;94,7;0,0378050952363843;24;76,5;-26,5948684230638
"165";"6002";"P3";131,9;-0,00218679217977614;172;0,0989235597562998;40,1;163,4;-5,21413680794194
"166";"6003";"P1";69,1;-1,42642928969473;90,7;0,0594870017132191;21,6;74;-15,9867634648737
"167";"6003";"P2";107,1;-0,0564831246645764;168;-11,5069434898158;60,9;162,2;-11,7520111992084
"168";"6014";"P1";69,1;-8,58683901039491;86,9;0,0335143538427683;17,8;70,5;-51,6542752284522
"169";"6014";"P3";114,8;-0,0110386989121244;173;-12,0623872974864;58,2;168,1;-12,4401208268823
"170";"6017";"P1";69,1;-3,40674433878792;87,1;0,103192141796994;18;71,5;-26,8811675875173
"171";"6017";"P4";137,1;-0,0362790596958135;173;-3,47220595466897;35,9;165,8;-5,22708828431859
=======
"4";"5072";"P1";72,9;-1,86719886497907;111,4;0,00666220171630082;38,5;74,2;-75,3013059468601
"5";"5073";"P1";69,1;-20,4113127654065;106,4;0,0192818344655804;37,3;69,1;-20,4113127654065
"6";"5073";"P2";121,7;-0,00969107786582707;210;-1,85821391068542;88,3;151,3;-10,8310440891596
"7";"5144";"P1";69,9;-0,370228947034043;102,4;0,039113591292657;32,5;72,5;-14,6291239348786
"8";"5144";"P2";115,4;-0,0531119044638404;181;-18,821850077887;65,6;155,4;-20,9502176500756
"9";"5146";"P1";67,1;-3,9087497162796;109,3;0,00295872839360195;42,2;69;-32,8936354455431
"10";"5147";"P1";67,1;-4,07467793804196;91,8;0,0218496122290892;24,7;68,8;-28,9997175939219
"11";"5147";"P2";104;-0,036269073626676;174;0,00973478262205617;70;128,6;-10,4041390158319
"12";"5149";"P1";69,6;-4,01206213250082;100,5;0,0390505502043695;30,9;70,3;-30,4040469372486
"13";"5149";"P2";114,8;-0,0274843128881524;181;-6,96953506835193;66,2;148,6;-10,7990635300646
"14";"5196";"P1";67,1;-6,05392689701937;104,5;0,0270366849898466;37,4;74;-11,122747125592
"15";"5198";"P1";67,1;-4,61694495877356;106,6;0,00139405593431596;39,5;70,8;-21,0548725737073
"16";"5199";"P1";67,1;-69,2925230889652;109,4;0,0115278385538347;42,3;67,1;-69,2925230889652
"17";"5251";"P1";67,1;-2,33866480060786;95;0,052503419980228;27,9;69,6;-14,2257249039499
"18";"5252";"P1";67,1;-1,42278342217317;107,8;0,0898963069223172;40,7;72,3;-17,8831833165994
"19";"5255";"P1";87,8;-0,13547547939855;193;-11,3393418764322;105,2;135,3;-16,7547945068334
"20";"5256";"P1";67,1;-64,6764472781668;94,8;0,0228898758698868;27,7;67,1;-64,6764472781668
"21";"5256";"P2";106,3;-0,0442974350146175;193;-0,549594352665851;86,7;132,8;-13,5657481008268
"22";"5297";"P1";66,1;-2,59077002188471;103,1;0,0207928209262158;37;73,1;-11,487680073561
"23";"5299";"P1";66,1;-0,900027273418649;104;0,0743365211517153;37,9;79;-18,7297478071489
"24";"5301";"P1";75,4;-0,0016262086564488;102,4;0,021625624709533;27;80,2;-10,2983258026325
"25";"5306";"P1";66,1;-68,1126072019274;89,3;0,189287237421797;23,2;66,1;-68,1126072019274
"26";"5308";"P1";66,9;-0,664305903136401;90,2;0,0356344447917661;23,3;69;-21,5940556212558
"27";"5308";"P2";107,6;-0,0147482922271542;192;-5,41752624681554;84,4;148,4;-16,0277053497109
"28";"5309";"P1";66,1;-8,6951486371934;84,3;0,00682952148569005;18,2;67,8;-71,4625250328643
"29";"5310";"P1";66,1;-2,73966267799499;102,8;0,00528007549802688;36,7;68,6;-19,8171675417025
"30";"5312";"P1";66,1;-3,49637158191777;109,2;0,00295783691214871;43,1;67,3;-20,2930832594747
"31";"5320";"P1";66,1;-74,3667123992201;95,5;0,0264505122787844;29,4;66,1;-74,3667123992201
"32";"5350";"P1";72,7;-0,0364166744035954;90,4;0,0168229877339733;17,7;76,7;-10,9159603681548
"33";"5350";"P2";99;-0,0215383756343779;196,3;0,0283111842823642;97,3;118,7;-12,4659650781003
"34";"5351";"P1";69,1;-0,885552060608648;83,1;0,212989113574737;14;72,8;-15,5522248045614
"35";"5351";"P2";89,8;-0,0341293112713188;181,6;0,013948044668054;91,8;106,5;-11,0336362451391
"36";"5353";"P1";94,1;-0,0491737855186127;174;-9,5350375112735;79,9;143,7;-11,8878802036741
"37";"5376";"P2";101,9;-0,0263412500172819;173;-7,64116615675159;71,1;135,5;-11,7720384099395
"38";"5378";"P1";68,1;-82,4583874704042;90,7;0,0102827763346918;22,6;68,1;-82,4583874704042
"39";"5379";"P1";91,5;-0,0591504837827158;195;-11,1462609071629;103,5;176,6;-14,473485329235
"40";"5386";"P2";97,2;-0,144038582167207;196;-1,60299969417715;98,8;115;-18,1899711509283
"41";"5426";"P1";70,9;-1,52432013169989;103,8;0,00900140924465929;32,9;79;-46,6260455280502
"42";"5429";"P1";68,1;-65,4552797078855;86,8;0,000437794837889428;18,7;68,1;-65,4552797078855
"43";"5429";"P2";99,6;-0,0813862203520273;212,4;0,0039585389938714;112,8;123;-19,4407487439151
"44";"5433";"P1";68,1;-90,3592379325299;97,1;0,0233138314743;29;68,1;-90,3592379325299
"45";"5434";"P1";86,7;-0,17687063384382;188;0,0206346195285874;101,3;117;-21,0792117196545
"46";"5435";"P1";96,1;-0,0529306824834325;195;-2,86876340296669;98,9;119;-24,3850645541201
"47";"5449";"P1";68,1;-54,7421028506701;90,6;0,0370234099730253;22,5;68,1;-54,7421028506701
"48";"5450";"P2";92,2;-0,0170584324775961;173;-19,1227192179069;80,8;136,7;-25,6308494557326
"49";"5451";"P1";68,8;-4,56983227528502;86;0,0407218958354199;17,2;69,7;-48,3253596757271
"50";"5451";"P2";94,7;-0,000539362506492726;190;0,0118144144345271;95,3;142,7;-35,4515098429169
"51";"5452";"P1";88,5;-0,167805487708586;173;-10,1549426951409;84,5;166,6;-10,9882111973818
"52";"5455";"P1";68,1;-19,1619269781067;89,2;0,0458515436591326;21,1;68,1;-19,1619269781067
"53";"5469";"P1";94,1;-0,0348018108562359;195;-27,015481351956;100,9;122,1;-29,850273218057
"54";"5470";"P1";67,1;-9,96345072859339;85,2;0,0850596799799034;18,1;68,8;-67,9696307633823
"55";"5471";"P2";95,2;-0,00336990098096227;195;-0,0446041025515975;99,8;114,9;-12,336226468212
"56";"5479";"P1";94;-0,0235475027683847;172;-13,5140259107512;78;134,7;-14,788333298404
"57";"5481";"P2";93,4;-0,0154292011803506;194;-14,1630776572379;100,6;172,9;-15,4369546971927
"58";"5523";"P1";67,1;-93,9367888802138;88,4;0,00906515963250962;21,3;67,1;-93,9367888802138
"59";"5523";"P2";96,4;-0,150974090504739;162,7;0,00324837555479688;66,3;115,3;-11,8938819769278
"60";"5524";"P1";67,1;-87,1685215994493;90,2;0,0546950571210948;23,1;67,1;-87,1685215994493
"61";"5525";"P1";67,1;-87,9623173538484;91,4;0,115519060276519;24,3;67,1;-87,9623173538484
"62";"5526";"P2";94,4;-0,165706407128368;214;-20,5143900718468;119,6;184,1;-26,0054058152785
"63";"5527";"P1";68,1;-98,2759473452632;94,4;0,0806120772578379;26,3;68,1;-98,2759473452632
"64";"5567";"P1";74,2;-0,443157236555087;141,3;0,00883621413160607;67,1;87,7;-18,2326296485654
"65";"5570";"P2";88,9;-0,0628943102800249;142,8;0,0305475767625845;53,9;105,7;-11,1544498109853
"66";"5573";"P1";77,5;-0,480446227154902;197;0,0492667835468715;119,5;110,9;-18,1906250842005
"67";"5595";"P1";76,5;-0,27392191592888;200,4;0,00900712190655627;123,9;95,6;-15,553481979241
"68";"5596";"P1";68,1;-84,9168431907201;83,5;0,0127603352571152;15,4;68,1;-84,9168431907201
"69";"5596";"P2";90,8;-0,0991014912264271;168,9;0,0111066501281659;78,1;108,4;-14,2338828472809
"70";"5606";"P1";78;-0,00506270826296989;183,1;0,00473470646778625;105,1;120,9;-21,1547470626777
"71";"5628";"P1";67,1;-72,3750542446555;87,9;0,0244616939685223;20,8;67,1;-72,3750542446555
"72";"5629";"P1";75,2;-0,0011576428878212;94,4;0,141574389187684;19,2;87,7;-19,7565277003556
"73";"5643";"P1";87,7;-0,0304005885689114;146,2;0,0102701578875749;58,5;98,2;-12,3983655767059
"74";"5654";"P1";75,5;-0,19487903961174;141,9;0,00840613896797826;66,4;91,8;-16,4537906877505
"75";"5655";"P1";76,4;-0,469443376973074;110,2;0,0154838629340732;33,8;84,4;-38,0808106840749
"76";"5657";"P2";86,2;-0,0577109261820669;199,1;0,0195650229694176;112,9;123,9;-19,8027541249186
"77";"5658";"P1";82,2;-0,119589736556157;161,1;0,0174382042420515;78,9;104,5;-10,4553558260143
"78";"5666";"P2";80,6;-0,0296657902686902;184,5;0,0178603638664958;103,9;93,6;-11,934397707562
"79";"5667";"P2";90,9;-0,0394701580220917;205,2;0,0437833901004482;114,3;121,7;-24,6304456055345
"80";"5668";"P1";67,1;-7,25180696238222;87,2;0,118303050586829;20,1;68,3;-35,7651339332842
"81";"5668";"P2";96,1;-0,0212626572190842;134,1;0,00545662054800138;38;108;-10,3223726061231
"82";"5673";"P1";83,5;-0,0366929070183007;205;0,00438087259953647;121,5;125,3;-27,2802127899991
"83";"5731";"P1";74,1;-84,0768459660916;87,4;0,042919329239498;13,3;74,1;-84,0768459660916
"84";"5744";"P1";76,5;-0,222204968847014;89;0,055479985983948;12,5;79,1;-16,2631667643334
"85";"5745";"P1";79,3;-0,0520385133155725;114;0,0119340528868968;34,7;84,3;-20,910502910479
"86";"5746";"P1";70,1;-35,5284519512746;95,1;0,0312740533065728;25;70,1;-35,5284519512746
"87";"5769";"P1";70,1;-84,8181335687119;89,3;0,00564251015845305;19,2;70,1;-84,8181335687119
"88";"5770";"P1";71;-73,8102739842263;78,1;0,00969327658537624;7,09999999999999;71;-73,8102739842263
"89";"5773";"P1";80,3;-0,532318381207039;131,8;0,00706633633924996;51,5;87,7;-17,7045400371808
"90";"5774";"P1";71,3;-1,60486524138561;99,6;0,0454274898489923;28,3;77,1;-27,7684076081198
"91";"5775";"P1";71,5;-0,458037319095281;113;0,0206357363019716;41,5;79,5;-37,869497808152
"92";"5779";"P1";72,1;-50,5818633165347;77,5;0,465167037248876;5,40000000000001;72,1;-50,5818633165347
"93";"5780";"P1";74;-0,00451477132486423;99;0,105089551438263;25;84,8;-11,0452639997489
